id,name,lat,lon
"4ff1235b1533","Plzeň Košutka - Meteo",49.776428,13.35589
"f8bfda6508b8","Uklizecka 🧹",49.152074,16.565624
"e3f489c00f68","bythebridge.meshcore.cz",49.27482,16.60046
"784523df2942","z3r0",0,0
"5226c1f8fa89","ZN01.meshcore.cz",49.221412,16.577779
"24da30cf5fe1","Zbynek 📟",0,0
"237fa3ba5ff4","atlas",0,0
"1a9ed8a59f4e","Mufi PKR exp",50.013633,14.633365
"cf3d9547621f","🧠 kubova kocka",49.190203,16.660125
"bebe9de732f0","HeCoMeshi",0,0
"0ee7edf0935e","Hunder",50.347614,14.477743
"32cda0b732c2","swift2.meshcore.cz",49.24607,16.57675
"58f7d5030f11","w00w",50.066383,13.666305
"c029dc7d13bb","MoMa",50.040855,14.568476
"fe49e82d35c0","CUKR_EAST",49.93647,14.356
"a311fad724d4","vin-mob",0,0
"54fce337ecdb","ZIVO RPT",49.682731,17.957509
"fbb2055d1be0","Effik Rak Solar",50.04122,14.5699
"91f23f5ced09","OK1KQH.DVORACEK",49.621508,14.513173
"9696296de658","BP.BREZINEVES.AP",50.16305,14.48133
"893381a13c2b","MaHra🌡️",49.810847,14.265797
"f1efb2820344","Terasy",50.08388,14.39896
"ac8954bdb670","1JM0",50.1678,14.634617
"570be39adeb4","Boky-Pv ok2boz",0,0
"d875181b6205","CEBO_RPT_03",49.842748,14.389226
"d9479fa620ff","BraEastYagi",48.957884,16.330369
"ec10897b7a02","ZelesiceKH.meshcore.cz",49.13096,16.5658
"1a1802e6c1e8","RAK4631 Repeater",49.87631,14.861326
"f0f116ceb328","pinkolin solar test",49.72054,13.2429
"ed320b9cf610","CUKR_WEST",49.936557,14.355755
"fa792a542303","🐈 davidova kocka",49.210986,16.677046
"41742eda12ad","MM1🐻",0,0
"65d9aaa4aef4","CZ.NIC Repeater",50.07913,14.45136
"bd41d82d7689","JMC998",49.399731,15.601019
"2d25b02ecd25","Zajeci_Hora",49.237353,16.609755
"8e63a191d47f","amm.malastrana⛪",50.084317,14.405717
"14a5d9565e68","Hladovec🌳",49.828495,14.184384
"138f3e0c414c","P0D0L1",50.043826,14.428099
"82780afbe7c8","douby.raspberry",49.590138,17.933936
"87a6ee7aaea2","ftn11_tdeck",50.0587,14.428222
"7e0df2c93aa0","MirS",50.05653,13.6539
"5fd51afae231","Sgd 📟",0,0
"13b1e7b28f49","Kraken Heltec V3",50.591094,13.500776
"3b23bfb1108b","JCKBLPWR",50.450812,15.348347
"fea19a36ae68","Decommissioned!",0,0
"bc02ece3bc58","CernyVrch.meshcore.cz",50.06847,14.392939
"59f49121e1a9","🧭VSA",50.18989,15.88299
"43c08c2a3897","szczurkosmiczny",49.355958,16.6503
"35660911ac48","BraTower",48.93588,16.313278
"b0b02eba2614","AdObserver",0,0
"2f4fc9119cb3","Roztoky🗼BoberStation",50.16276,14.39174
"bc4f928bc496","LAB#3.tdeck",0,0
"8a857217f57a","OK4SU",0,0
"9c5c9768b227","SnailyNode",0,0
"8440b1d36601","MorinkaRepNetmilk",49.94308,14.23873
"24957c20927c","418 IM_A_TEAPOT",0,0
"c9cfad4708c7","Milda1🐱",0,0
"df963338deba","JBC-02Krkonosska",50.706135,15.181001
"47e4cea6ad00","mlk-centrum.meshcore.cz",50.353171,14.474431
"98300ec63e0a","Sc00terik 01 (Repeater)",50.036941,14.492549
"9b17c19648f2","Tdeck Kresi",0,0
"3775afc9b4ce","MaHra🏡🗼",49.81068,14.265544
"1dbc16da03af","Lp02-XiaoS3",48.744536,16.870052
"af271b463bdd","JBC-01Pivovarska",50.7162,15.16862
"eb98aba76bdd","Čenďák Repeater",50.087957,14.365074
"2030e4a4fefc","amm.prosek🌞",50.117982,14.496025
"1101e9a7e616","Jointer Netolice",49.853705,13.952814
"fa67dd45d74c","REP Krenice",50.03575,14.66344
"bd9cccee6778","Hořovický rohlík🥐",49.8346,13.89813
"6816bde31cfc","krkavka.meshcore.cz",49.89888,15.57418
"313e08148184","Mira",0,0
"282c002ddf56","LIPNIK",50.27023,14.90988
"a7534f5ec5d7","Tady85-HWP",0,0
"4b616c61ab12","Kala-Na+🌲",49.724311,14.844406
"eeeeee947e4c","TEST - BiSka A🍺",50.118548,14.456159
"8ee43dea3706","norman67.portable",0,0
"90bcde8a25cc","OK0BR ⛈",49.658501,13.817662
"b5ff295b3a86","WiCoMeshi",0,0
"e9f141b62fb9","Rad-Track-Sazava",0,0
"01415f25434f","Mirepeat Baba",50.116973,14.386078
"30fa1c759c47","Zebrak🗼 mc.samm.cz",49.874612,13.90403
"b68436f69833","Devin-test.meshcore.cz",48.869452,16.650305
"cb2673d0f793","s_83",0,0
"583a3d52040b","JMC002",0,0
"8d2a8bd3dec6","ZadniMostek",50.499828,15.700129
"e80c99da7c02","lfmc1",0,0
"61f8dfd479d9","MaHraTESTµArt",49.816273,14.268946
"108c6bea432d","kraken AB01",50.591249,13.50075
"e74f8b2d524e","EL Cap",50.078354,14.509945
"af1eb521bbd7","Davi_Krakovany",50.07097,15.36605
"912f0b560eb1","Effik Sensecap",50.040949,14.569968
"c36230ff127b","MCFE-Infrastructure3",50.10963,14.39428
"8f2981b834fd","Moravia_Room",49.22391,16.65696
"0c5b463bdf38","FraJa repeater",49.154194,16.540412
"f9f80041d069","JM Repeater MM",50.03533,14.53128
"c9e5747b833f","Roztoky HolyHandGrenade",50.155456,14.371931
"0c820802ed87","Work_beny",50.157345,14.171658
"4cb92a78c659","Bavaria Repeater",49.27164,16.592099
"69a73350a9a4","JSTH",50.04733,14.30287
"4976424fc7b5","DeadDrop@JO70DJ",0,0
"153852dca378","farsky.meshcore.cz",49.64882,16.5287
"4914154d94e0","chiptronCZ Repeater",50.06315,14.36771
"1979f3c1d20b","brezova.meshcore.cz",49.66052,16.51115
"814546ee85a6","KMS_MC_Rep1_Base",49.70371,13.41456
"666c6f76bba5","UHO",50.096107,14.727074
"7d6114c2059e","ok1mkh.meshcore.cz",50.17592,13.91248
"6600c97797f3","r1.fogll.meshcore.cz",49.57718,15.839
"77928ec6d69a","kls7 repeater",49.20361,16.59963
"5a8f48f5e762","BlackDog.Brno.CZ",49.254535,16.579381
"88c63a71d614","Honza Zlín/autoRPTR",49.224644,17.657135
"b5c8557fe5c4","Losina.meshcore.cz 🫎",49.669567,13.454597
"8828dd039305","lmkz.meshcore.cz",50.23544,14.35672
"e3687ca79cfd","LFST",50.117283,14.296454
"c42066c2468c","rip4.meshcore.cz",50.38454,14.28817
"492ece97669f","Breclav-P21.meshcore.cz",48.770704,16.890346
"02ccd281de15","Honza Zlin/Doma",49.24244,17.67081
"6f626e6a7d5a","corneja",49.227412,16.628853
"fb97ccad8627","SatoshiLabs",50.11438,14.4819
"e3a078876a45","Effik Lili",50.10014,14.40341
"eacf7b742fc9","Frýdek rpt | Zátiší",49.698326,18.357241
"123473069fb9","Hermanice",49.717323,17.806644
"6c4d1247792d","hadi.meshcore.cz",49.213658,16.686489
"241de03d3b01","LFPOSED",50.3766,14.12702
"5f08f9bfeb94","musilm.rptr.opatnet.cz",0,0
"0bff39697e61","cypherpunk",50.11271,14.47308
"03e05d139d9b","Solar_ltrk",50.41396,15.78032
"2fe84d98f0f6","JARDANET.COM",50.127111,14.470288
"b7561719e764","Tady85-TestRak",50.70005,14.53972
"3a1301b88979","RAK3172-trubka-repeater",49.839409,18.1814
"60231164df24","Arcao TDeck+",50.254622,14.517246
"ec3e6a8c51e4","EL Deck",0,0
"bcbf99c53e79","i-Tom Deck",50.131082,14.739524
"2c6f151ffd99","Digit📡Wiki",50.11738,14.49775
"ec9919f0c98e","JARDANET.SOLAR",50.127937,14.451275
